data,all,allglobal,constvar,domain,impl,original
1.dzn,0.195,0.200,0.588,N/A,0.231,0.201
2.dzn,0.182,0.182,2.424,0.383,0.169,0.262
3.dzn,0.188,0.198,0.187,0.199,0.221,0.219
4.dzn,0.167,0.182,0.167,0.165,0.165,19.236
5.dzn,0.185,0.198,0.197,0.191,0.187,0.182
6.dzn,0.163,0.175,0.163,0.173,0.168,0.164
7.dzn,N/A,0.229,0.191,0.251,1.860,0.189
8.dzn,0.180,0.194,0.187,0.196,0.189,0.469
9.dzn,0.733,0.168,0.165,0.153,0.158,N/A
10.dzn,N/A,0.197,5.289,0.224,0.235,0.202
11.dzn,0.184,0.185,0.186,0.263,9.078,0.542
12.dzn,N/A,N/A,1.793,N/A,0.178,0.171
13.dzn,N/A,0.188,0.171,N/A,0.179,20.392
14.dzn,N/A,N/A,N/A,N/A,0.173,0.174
15.dzn,0.201,0.204,N/A,0.196,0.288,0.211
16.dzn,0.197,0.198,0.196,0.211,0.206,2.948
17.dzn,0.346,N/A,2.513,0.271,0.173,0.167
18.dzn,0.201,0.218,0.189,0.215,0.184,0.208
19.dzn,59.049,1.262,N/A,52.834,0.205,0.188
20.dzn,3.802,0.173,31.017,0.172,0.174,0.166
